Supermercado,Marca,Producto,Precio,Categoria,Enlace,Fecha,porMayor
Lider,Iansa Agro,"Porotos Blancos Listos, Drenado 230 G - Neto 390 G",1190,Porotos,https://www.lider.cl/supermercado/product/sku/1052982/iansa-agro-porotos-blancos-listos-drenado-230-g-neto-390-g,2024-10-01,
Jumbo,Carozzi,Pasta Spaghetti Tricolor Carozzi 400 G,1190,Tallarín,https://www.jumbo.cl/spaghetti-n-5-carozzi-bolsa-400-g-tricolori-tomate-clasica-y-espinacas-2/p,2024-10-01,
Lider,Iansa Agro,"Porotos Negros Listos, Drenado 230 G - Neto 390 G",1190,Porotos,https://www.lider.cl/supermercado/product/sku/1052976/iansa-agro-porotos-negros-listos-drenado-230-g-neto-390-g,2024-10-01,
Jumbo,Carozzi,Pasta Tallarines N°87 Carozzi Espinaca 400 G,1190,Tallarín,https://www.jumbo.cl/tallarines-n-87-carozzi-bolsa-400-g-espinaca-2/p,2024-10-01,
Lider,Soprole,"Leche Entera Natural, 1 L",1190,Leche Entera,https://www.lider.cl/supermercado/product/sku/702661/soprole-leche-entera-natural-1-l,2024-10-01,
Lider,Trattoria,"Fideos Spaghetti N°5, 400 G",1190,Tallarín,https://www.lider.cl/supermercado/product/sku/270334/trattoria-fideos-spaghetti-n5-400-g,2024-10-01,
Unimarc,Frutos Del Maipo,Porotos Verdes Francés Frutos Del Maipo 350 G,1194,Porotos,https://www.unimarc.cl/product/porotos-verdes-frances-frutos-del-maipo-350-g,2024-10-01,
Jumbo,Cuisine & Co,Jurel Natural 130 G Drenado,1199,Jurel,https://www.jumbo.cl/jurel-natural-c-and-co-130g-1963035/p,2024-10-01,
Santa Isabel,Soprole,Leche Soprole Entera Natural 1 L,1199,Leche Entera,https://www.santaisabel.cl/leche-soprole-natural-1-litro/p,2024-10-01,
Jumbo,Esmeralda,Porotos Negros Esmeralda 400 G,1199,Porotos,https://www.jumbo.cl/porotos-negros-esmeralda-400-g/p,2024-10-01,
Jumbo,Esmeralda,Porotos Blancos Esmeralda 400 G,1199,Porotos,https://www.jumbo.cl/porotos-blanco-esmeralda-400-g/p,2024-10-01,
Unimarc,Soprole,Leche Entera Natural Soprole 1 L,1200,Leche Entera,https://www.unimarc.cl/product/leche-entera-natural-soprole-con-tapa-1-l-2,2024-10-01,
Unimarc,Lucchetti,Pasta Spaghetti N° 5 Lucchetti Integral 400 G,1210,Tallarín,https://www.unimarc.cl/product/spaghetti-5-integral-lucchetti-400-gr,2024-10-01,
Unimarc,Colun,Leche En Polvo Colun Entera 120 G,1240,Leche Entera,https://www.unimarc.cl/product/leche-polvo-entera-colun-120-gr,2024-10-01,
Jumbo,Vivo,Pasta Spaghetti N°5 Vivo 350 G,1240,Tallarín,https://www.jumbo.cl/spaghetti-n-5-vivo-bolsa-350-g/p,2024-10-01,
Santa Isabel,Cuisine & Co,Jurel En Salsa De Tomate 130 G Drenado,1249,Jurel,https://www.santaisabel.cl/jurel-en-tomate-c-and-co-130g-dr-1963036/p,2024-10-01,
Lider,Talliani,"Fideos Spirali Con Huevos Frescos Bolsa, 400 G",1250,Tallarín,https://www.lider.cl/supermercado/product/sku/2689/talliani-fideos-spirali-con-huevos-frescos-bolsa-400-g,2024-10-01,
Lider,Talliani,"Fideos Rigati Con Huevos Frescos Bolsa, 400 G",1250,Tallarín,https://www.lider.cl/supermercado/product/sku/300415/talliani-fideos-rigati-con-huevos-frescos-bolsa-400-g,2024-10-01,
Santa Isabel,Cuisine & Co,Porotos Verdes Congelados 350 G,1250,Porotos,https://www.santaisabel.cl/porotos-verdes-congelados-350-g-cuisine-and-co-1763682/p,2024-10-01,
Lider,Colun,"Leche Entera Sin Lactosa Con Tapa, 1 L",1250,Leche Entera,https://www.lider.cl/supermercado/product/sku/859410/colun-leche-entera-sin-lactosa-con-tapa-1-l,2024-10-01,
Lider,Talliani,"Fideos Spaghetti 5 Con Huevos Frescos Bolsa, 400 G",1250,Tallarín,https://www.lider.cl/supermercado/product/sku/2685/talliani-fideos-spaghetti-5-con-huevos-frescos-bolsa-400-g,2024-10-01,
Lider,Minuto Verde,"Porotos Verdes Corte Francés, 350 G",1253,Porotos,https://www.lider.cl/supermercado/product/sku/300727/minuto-verde-porotos-verdes-corte-frances-350-g,2024-10-01,
Unimarc,Trattoria,Pasta Spaghetti N° 5 Trattoría Al Huevo 400 G,1270,Tallarín,https://www.unimarc.cl/product/spaghetti-5-al-huevo-trattoria-400-gr,2024-10-01,
Unimarc,Trattoria,Pasta Tallarines N° 87 Al Huevo Trattoria 400 G,1270,Tallarín,https://www.unimarc.cl/product/tallarines-87-huevo-trattoria-400-gr,2024-10-01,
Unimarc,Vivo,Pasta Spaghetti N° 5 Vivo 350 G,1280,Tallarín,https://www.unimarc.cl/product/spaghetti-5-vivo-350-gr,2024-10-01,
Unimarc,Nuestra Cocina,Porotos Verdes Nuestra Cocina Congelados 350 G,1290,Porotos,https://www.unimarc.cl/product/porotos-verdes-cong-nuestra-cocina-350g,2024-10-01,
Lider,Surlat,"Leche Entera Sin Lactosa, 1 L",1290,Leche Entera,https://www.lider.cl/supermercado/product/sku/1169869/surlat-leche-entera-sin-lactosa-1-l,2024-10-01,
Jumbo,Cuisine & Co,Jurel En Salsa De Tomate 130 G Drenado,1299,Jurel,https://www.jumbo.cl/jurel-en-tomate-c-and-co-130g-1963036/p,2024-10-01,
Santa Isabel,Surlat,Leche Surlat Entera Sin Lactosa 1 L,1319,Leche Entera,https://www.santaisabel.cl/leche-entera-sin-lactosa1-l-1882658/p,2024-10-01,
Jumbo,Surlat,Leche Surlat Entera Sin Lactosa 1 L,1329,Leche Entera,https://www.jumbo.cl/leche-s-l-entera-surlat-1l-1882658/p,2024-10-01,
Santa Isabel,Talliani,Caracoles Talliani 400 G,1330,Tallarín,https://www.santaisabel.cl/caracoles-talliani-bolsa-400-g/p,2024-10-01,
Santa Isabel,Talliani,Tallarín N°78 Talliani 400 G,1330,Tallarín,https://www.santaisabel.cl/tallarines-n-78-talliani-bolsa-400-g/p,2024-10-01,
Santa Isabel,Talliani,Farfalle Talliani Corbatas 400 G,1330,Tallarín,https://www.santaisabel.cl/farfalle-talliani-bolsa-400-g/p,2024-10-01,
Santa Isabel,Talliani,Rigatti Talliani Al Huevo 400 G,1330,Tallarín,https://www.santaisabel.cl/rigati-talliani-bolsa-400-g-con-huevos-frescos/p,2024-10-01,
Santa Isabel,Talliani,Tallarín N°77 Talliani 400 G,1330,Tallarín,https://www.santaisabel.cl/tallarines-n-77-talliani-bolsa-400-g-con-huevos-frescos/p,2024-10-01,
Santa Isabel,Talliani,Espirales Talliani Al Huevo 400 G,1330,Tallarín,https://www.santaisabel.cl/espirales-talliani-bolsa-400-g/p,2024-10-01,
Santa Isabel,Talliani,Spaghetti N°5 Talliani Al Huevo 400 G,1330,Tallarín,https://www.santaisabel.cl/spaghetti-n-5-talliani-bolsa-400-g-con-huevos-frescos/p,2024-10-01,
Jumbo,Soprole,Leche Soprole Sin Lactosa Entera 1 L,1339,Leche Entera,https://www.jumbo.cl/leche-s-l-entera-soprole-zerolacto-1lt-1950864/p,2024-10-01,
Santa Isabel,Loncoleche,Leche Loncoleche Entera Sin Lactosa 1 L,1339,Leche Entera,https://www.santaisabel.cl/leche-loncoleche-natural-sin-lactosa-1-l/p,2024-10-01,
Santa Isabel,San José,Lomos De Jurel En Aceite San José 104 G Drenado,1340,Jurel,https://www.santaisabel.cl/lomos-de-jurel-aceite-san-jose-104-gr-dr-1939060/p,2024-10-01,
Santa Isabel,San José,Lomos De Jurel Ahumado San José 104 G Drenado,1340,Jurel,https://www.santaisabel.cl/lomos-de-jurel-ahumado-san-jose-104gr-dr-1939061/p,2024-10-01,
Santa Isabel,San José,Lomos De Jurel Natural San José 104 G Drenado,1340,Jurel,https://www.santaisabel.cl/lomos-de-jurel-natural-san-jose-104gr-dr-1939059/p,2024-10-01,
Unimarc,Esmeralda,Porotos Negros Esmeralda Lata 400 G,1340,Porotos,https://www.unimarc.cl/product/porotos-negros-esmeralda-400-gr,2024-10-01,
Unimarc,Esmeralda,Porotos Blancos Esmeralda Lata 400 G,1340,Porotos,https://www.unimarc.cl/product/porotos-blancos-esmeralda-400gr,2024-10-01,
Lider,Wasil,"Porotos Blancos Caja, Drenado 230 G - Neto 380 G",1350,Porotos,https://www.lider.cl/supermercado/product/sku/292577/wasil-porotos-blancos-caja-drenado-230-g-neto-380-g,2024-10-01,
Lider,Wasil,"Porotos Rojos, Drenado 230 G - Neto 380 G",1350,Porotos,https://www.lider.cl/supermercado/product/sku/846816/wasil-porotos-rojos-drenado-230-g-neto-380-g,2024-10-01,
Lider,Wasil,"Porotos Negros Listos Para Servir Caja, Drenado 230 G - Net…",1350,Porotos,https://www.lider.cl/supermercado/product/sku/531717/wasil-porotos-negros-listos-para-servir-caja-drenado-230-g-neto-380-g,2024-10-01,
Unimarc,Colun,Leche Entera Sin Lactosa Colun Con Tapa 1 L,1350,Leche Entera,https://www.unimarc.cl/product/leche-entera-s-lactosa-colun-1-lt-2,2024-10-01,
Jumbo,San José,Lomos De Jurel En Aceite San José 104 G Drenado,1370,Jurel,https://www.jumbo.cl/lomos-de-jurel-aceite-san-jose-104-gr-dr-1939060/p,2024-10-01,
Unimarc,San Jose,Lomos De Jurel San José Natural 160 G,1370,Jurel,https://www.unimarc.cl/product/lomos-de-jurel-san-jose-160-gr-natural,2024-10-01,
Unimarc,San Jose,Lomos De Jurel San José Ahumado 160 G,1370,Jurel,https://www.unimarc.cl/product/lomos-de-jurel-san-jose-160-gr-ahumado,2024-10-01,
Unimarc,San Jose,Lomos De Jurel San José Aceite 160 G,1370,Jurel,https://www.unimarc.cl/product/lomos-de-jurel-san-jose-160-gr-aceite,2024-10-01,
Jumbo,San José,Lomos De Jurel Natural San José 104 G Drenado,1370,Jurel,https://www.jumbo.cl/lomos-de-jurel-natural-san-jose-104gr-dr-1939059/p,2024-10-01,
Jumbo,San José,Lomos De Jurel Ahumado San José 104 G Drenado,1370,Jurel,https://www.jumbo.cl/lomos-de-jurel-ahumado-san-jose-104gr-dr-1939061/p,2024-10-01,
Santa Isabel,Colun,Leche Colun Entera Sin Lactosa 1 L,1379,Leche Entera,https://www.santaisabel.cl/leche-entera-sin-lactosa-1-l/p,2024-10-01,
Jumbo,Colun,Leche Colun Entera Sin Lactosa 1 L,1389,Leche Entera,https://www.jumbo.cl/leche-entera-sin-lactosa-1-l/p,2024-10-01,
Jumbo,Iansa Agro,Porotos Rojos Listos 390 G,1389,Porotos,https://www.jumbo.cl/poroto-rojo-iansa/p,2024-10-01,
Lider,Soprole,"Leche Natural Entera Cremosa, 1 L",1390,Leche Entera,https://www.lider.cl/supermercado/product/sku/1145580/soprole-leche-natural-entera-cremosa-1-l,2024-10-01,
Unimarc,Moccagatta,Pasta Spaghetti Moccagatta Al Bronce 400 G,1390,Tallarín,https://www.unimarc.cl/product/spaghetti-al-bronce-moccagatta-400-gr,2024-10-01,
Unimarc,Soprole,Leche Sin Lactosa Soprole Entera 1 L,1390,Leche Entera,https://www.unimarc.cl/product/leche-zero-lacto-entera-soprole-1lt,2024-10-01,
Unimarc,Minuto Verde,Porotos Verdes Francés Minuto Verde 350 G,1393,Porotos,https://www.unimarc.cl/product/porotos-verdes-frances-minuto-verde-350-g,2024-10-01,
Santa Isabel,Wasil,Porotos Blancos Wasil 230 G Drenado,1429,Porotos,https://www.santaisabel.cl/porotos-wasil-caja-380-g-blancos-listos-para-servir-2/p,2024-10-01,
Santa Isabel,Soprole,Leche Soprole Entera Cremosa 1 L,1429,Leche Entera,https://www.santaisabel.cl/leche-entera-cremosa-1-l/p,2024-10-01,
Santa Isabel,Wasil,Porotos Negros Wasil 230 G Drenado,1429,Porotos,https://www.santaisabel.cl/porotos-negros-wasil-caja-380-g-2/p,2024-10-01,
Unimarc,Surlat,Leche Entera Surlat Sin Lactosa 1 L,1430,Leche Entera,https://www.unimarc.cl/product/leche-entera-sin-lactosa-surlat-1l,2024-10-01,
Jumbo,Soprole,Leche Soprole Entera Cremosa 1 L,1439,Leche Entera,https://www.jumbo.cl/leche-entera-4-5-mg-soprole-1l-1881647/p,2024-10-01,
Jumbo,Wasil,Porotos Blancos Wasil 230 G Drenado,1449,Porotos,https://www.jumbo.cl/porotos-wasil-caja-380-g-blancos-listos-para-servir-2/p,2024-10-01,
Jumbo,Wasil,Porotos Negros Wasil 230 G Drenado,1449,Porotos,https://www.jumbo.cl/porotos-negros-wasil-caja-380-g-2/p,2024-10-01,
Jumbo,Wasil,Porotos Rojos Wasil Listo Para Servir 230 G Drenado,1449,Porotos,https://www.jumbo.cl/porotos-rojos-wasil-listo-para-servir-380-g/p,2024-10-01,
Santa Isabel,Frutos Del Maipo,Porotos Verdes Frutos Del Maipo 350 G,1490,Porotos,https://www.santaisabel.cl/porotos-verdes-frutos-del-maipo-bolsa-350-g-congelado-2/p,2024-10-01,
Santa Isabel,Minuto Verde,Poroto Verde Corte Francés Minuto Verde 350 G,1495,Porotos,https://www.santaisabel.cl/poroto-verde-corte-frances-minuto-verde-350-g/p,2024-10-01,
Jumbo,Vermicelli,Fideos De Porotos Vermicelli Bolsa 200 G,1530,Porotos,https://www.jumbo.cl/fideos-de-porotos-vermicelli-bolsa-200-g/p,2024-10-01,
Unimarc,Wasil,Porotos Wasil Tetra 380 G,1540,Porotos,https://www.unimarc.cl/product/porotos-wasil-380-gr,2024-10-01,
Unimarc,Wasil,Porotos Negros Wasil Tetra 380 G,1540,Porotos,https://www.unimarc.cl/product/porotos-negros-wasil-380-gr,2024-10-01,
Unimarc,Wasil,Porotos Rojos Wasil Tetra 380 G,1540,Porotos,https://www.unimarc.cl/product/porotos-rojos-wasil-380gr,2024-10-01,
Unimarc,Nestle,Picado Nestlé Naturnes Porotos Con Tallarines 215 G,1547,Tallarín,https://www.unimarc.cl/product/alim-picado-porotos-c-tallar-nestle-215g,2024-10-01,3 x $4.641
Jumbo,Costa,Pack Galletas Frac Chocolates 208 G 4 Un.,1599,Frac,https://www.jumbo.cl/pack-frac-chocolates-208-gr-1975282/p,2024-10-01,
Santa Isabel,Milka,Chocolate De Leche Milka Relleno Con Avellanas Enteras 100 G,1609,Leche Entera,https://www.santaisabel.cl/chocolate-milka-whole-nuts-17ca-100g-1993773/p,2024-10-01,
Unimarc,Nuestra Cocina,Jurel Nuestra Cocina Natural 425 G,1690,Jurel,https://www.unimarc.cl/product/jurel-natural-nuestra-cocina-425g,2024-10-01,
Lider,Lider,"Jurel Natural, Drenado 300 G - Neto 425 G",1690,Jurel,https://www.lider.cl/supermercado/product/sku/5005/lider-jurel-natural-drenado-300-g-neto-425-g,2024-10-01,
Unimarc,1881,Pasta Spaghetti N°5 1881 Integral 500 G,1770,Tallarín,https://www.unimarc.cl/product/spaghetti-5-integral-1881-500-gr,2024-10-01,
Jumbo,San José,Jurel Al Natural San José Lata 300 G Drenado,1790,Jurel,https://www.jumbo.cl/jurel-san-jose-lata-425-g-al-natural-con-omega-3/p,2024-10-01,
Jumbo,Martini,Porotos Negros Martini 500 G,1810,Porotos,https://www.jumbo.cl/porotos-negros-martini-bolsa-500-g-2/p,2024-10-01,
Unimarc,Ecoterra,Leche De Vaca Libre Ecoterra Entera 1 L,1812,Leche Entera,https://www.unimarc.cl/product/leche-entera-ecoterra-1-lt,2024-10-01,
Jumbo,Fisherman,Lomos De Jurel Oliva Fisherman 104 G Drenado,1820,Jurel,https://www.jumbo.cl/lomos-de-jurel-oliva-fisherman-104-gr-dr-1939062/p,2024-10-01,
Santa Isabel,Cuisine & Co,Jurel Al Natural 300 G Drenado,1820,Jurel,https://www.santaisabel.cl/jurel-al-natural-300-g-drenado-cuisine-and-co-1841074/p,2024-10-01,
Lider,San José,"Jurel Natural Abre Fácil, Drenado 300 G - Neto 425 G",1850,Jurel,https://www.lider.cl/supermercado/product/sku/2669/san-jose-jurel-natural-abre-facil-drenado-300-g-neto-425-g,2024-10-01,
Jumbo,Cuisine & Co,Jurel Al Natural 300 G Drenado,1890,Jurel,https://www.jumbo.cl/jurel-al-natural-300-g-drenado-cuisine-and-co-1841074/p,2024-10-01,
Jumbo,La Molisana,Pasta Spaghetti Cuadrado La Molisana 500 G,1890,Tallarín,https://www.jumbo.cl/spaghetti-cuadrado-la-molisana-500-g-jumbo-importado/p,2024-10-01,
Jumbo,Noglut,Spaghetti Noglut Sin Gluten 250 G,1910,Tallarín,https://www.jumbo.cl/spaguetti-no-gluten-250-gr-1938915/p,2024-10-01,
Unimarc,Barilla,Pasta Spaghetti N° 5 Barilla 500 G,1940,Tallarín,https://www.unimarc.cl/product/spaguetti-5-barilla-500-gr,2024-10-01,
Jumbo,Martini,Porotos Blancos Martini 500 G,1940,Porotos,https://www.jumbo.cl/porotos-blancos-martini-bolsa-500-g-2/p,2024-10-01,
Santa Isabel,Wasil,Porotos Granados Wasil 380 G,1983,Porotos,https://www.santaisabel.cl/porotos-granados-wasil-caja-380-g-2/p,2024-10-01,
Jumbo,La Molisana,Pasta Spaghetti Lupino La Molisana 400 G,1990,Tallarín,https://www.jumbo.cl/pasta-spaghetti-lupino-la-molisana-400g-1992559/p,2024-10-01,
Jumbo,La Molisana,Pasta Spaghetti La Molisana Integral 500 G,1990,Tallarín,https://www.jumbo.cl/spaghetti-integral-la-molisana-500-g-jumbo-importado/p,2024-10-01,
Jumbo,Frutas Y Verduras Propias,Porotos Verdes Granel,1995,Porotos,https://www.jumbo.cl/porotos-verdes-granel/p,2024-10-01,
Lider,Ecoterra,"Leche Entera Chocolate, 1 L",1999,Leche Entera,https://www.lider.cl/supermercado/product/sku/4623142/ecoterra-leche-entera-chocolate-1-l,2024-10-01,
Lider,Ecoterra,"Leche Entera A2, 1 L",1999,Leche Entera,https://www.lider.cl/supermercado/product/sku/4623136/ecoterra-leche-entera-a2-1-l,2024-10-01,
Jumbo,Wasil,Porotos Granados Wasil 380 G,1999,Porotos,https://www.jumbo.cl/porotos-granados-wasil-caja-380-g-2/p,2024-10-01,
Unimarc,Frutos Del Maipo,Base Porotos Granados Frutos Del Maipo 500 G,2058,Porotos,https://www.unimarc.cl/product/base-porotos-granados-f-del-maipo-500-gr,2024-10-01,
Unimarc,Angelmo,Jurel Angelmo Al Natural 425 G,2090,Jurel,https://www.unimarc.cl/product/jurel-al-natural-angelmo-425-gr,2024-10-01,
Unimarc,Banquete,Poroto Negro Banquete 1 Kg,2100,Porotos,https://www.unimarc.cl/product/porotos-negros-banquete-1-kg,2024-10-01,
Santa Isabel,Cuisine & Co,Jurel En Salsa De Tomate 300 G Drenado,2149,Jurel,https://www.santaisabel.cl/jurel-en-tomate-c-and-c0-300g-dr-1959534/p,2024-10-01,
Unimarc,Martini,Porotos Tórtola Martini G1 500 G,2190,Porotos,https://www.unimarc.cl/product/porotos-tortola-g1-martini-500-gr,2024-10-01,
Santa Isabel,San José,Jurel Al Natural San José Lata 300 G Drenado,2190,Jurel,https://www.santaisabel.cl/jurel-al-natural-lata-300-g-drenado-266192/p,2024-10-01,
Santa Isabel,Naturnes,Picado Naturnes Porotos Con Tallarines 215G,2199,Porotos,https://www.santaisabel.cl/picado-nestle-porotos-con-tallarines-215-g/p,2024-10-01,
Jumbo,Cuisine & Co,Jurel En Salsa De Tomate 300 G Drenado,2199,Jurel,https://www.jumbo.cl/jurel-en-tomate-c-and-c0-300g-1959534/p,2024-10-01,
Unimarc,San Jose,Jurel San José Al Natural Lata 425 G,2210,Jurel,https://www.unimarc.cl/product/jurel-san-jose-al-natural-425-g,2024-10-01,
Jumbo,San José,Medallón De Jurel Al Natural San José 240 G Drenado,2210,Jurel,https://www.jumbo.cl/jurel-medallon-promocional-240-gr-dr-1913557/p,2024-10-01,
Jumbo,Naturnes,Picado Naturnes Porotos Con Tallarines 215G,2219,Tallarín,https://www.jumbo.cl/picado-nestle-porotos-con-tallarines-215-g/p,2024-10-01,
Santa Isabel,Martini,Porotos Tórtola Martini 500 G,2230,Porotos,https://www.santaisabel.cl/porotos-tortola-martini-bolsa-500-g-267013/p,2024-10-01,
Jumbo,Martini,Porotos Tórtola Martini 500 G,2250,Porotos,https://www.jumbo.cl/porotos-tortola-martini-bolsa-500-g-2/p,2024-10-01,
Unimarc,Wasil,Porotos Granados Wasil Tetra 380 G,2310,Porotos,https://www.unimarc.cl/product/porotos-granados-wasil-380-gr,2024-10-01,
Unimarc,Frutos Del Maipo,Porotos Granados Frutos Del Maipo 500 G,2328,Porotos,https://www.unimarc.cl/product/porotos-granados-frutos-del-maipo-500-g,2024-10-01,
Jumbo,Milka,Chocolate De Leche Milka Relleno Con Avellanas Enteras 100 G,2329,Leche Entera,https://www.jumbo.cl/chocolate-milka-whole-nuts-17ca-100g-1993773/p,2024-10-01,
Unimarc,Barilla,Pasta Spaghetti N°5 Barilla Integral 500 G,2380,Tallarín,https://www.unimarc.cl/product/spaghetti-integral-barilla-500-gr,2024-10-01,
Santa Isabel,Carretilla,Porotos Granados Carretilla 300 G,2390,Porotos,https://www.santaisabel.cl/porotos-granados-carretilla-300-g-1967792/p,2024-10-01,
Jumbo,Extra Di Lusso,Spaghetti Cuad Extra Di Lusso 500 G,2390,Tallarín,https://www.jumbo.cl/spaghetti-cuad-extra-di-lusso-500-g/p,2024-10-01,
Unimarc,Banquete,Poroto Hallado Banquete 1 Kg,2400,Porotos,https://www.unimarc.cl/product/porotos-hallados-banquete-1-kg,2024-10-01,
Lider,Wasil,"Porotos Granados Caja, 380 G",2450,Porotos,https://www.lider.cl/supermercado/product/sku/620853/wasil-porotos-granados-caja-380-g,2024-10-01,
Lider,Ecoterra,"Leche Entera De Cabra Libre Pastoreo, 1 L",2475,Leche Entera,https://www.lider.cl/supermercado/product/sku/4540162/ecoterra-leche-entera-de-cabra-libre-pastoreo-1-l,2024-10-01,
Jumbo,Jumbo Artesanal,Spaghetti Al Huevo 500 G,2490,Tallarín,https://www.jumbo.cl/spaghetti-al-huevo-jumbo-artesanal-granel/p,2024-10-01,
Jumbo,Jumbo Artesanal,Spaghetti De Espinaca 500 G,2490,Tallarín,https://www.jumbo.cl/spaghetti-de-espinaca-jumbo-artesanal-granel/p,2024-10-01,
Jumbo,Frutas Y Verduras Propias,Porotos Verdes 500 G,2490,Porotos,https://www.jumbo.cl/porotos-verdes-500-g/p,2024-10-01,
Lider,Lider,"Poroto Negro, 1 Kg",2490,Porotos,https://www.lider.cl/supermercado/product/sku/814963/lider-poroto-negro-1-kg,2024-10-01,
Jumbo,3F,Tallarines De Zanahoria 400 G,2490,Tallarín,https://www.jumbo.cl/tallarines-de-zanahoria-400gr/p,2024-10-01,
Lider,San José,"Jurel Al Natural Sin Sal Agregada Lata, Drenado 300 G - …",2490,Jurel,https://www.lider.cl/supermercado/product/sku/12147/san-jose-jurel-al-natural-sin-sal-agregada-lata-drenado-300-g-neto-425-g,2024-10-01,
Unimarc,Nuestra Cocina,Porotos Negros Nuestra Cocina 1 Kg,2490,Porotos,https://www.unimarc.cl/product/porotos-negros-nuestra-cocina-1-kg,2024-10-01,
Santa Isabel,Cuisine & Co,Porotos Negros Cuisine & Co 1 Kg,2550,Porotos,https://www.santaisabel.cl/poroto-negro-1-kg-cuisine-and-co-1840320/p,2024-10-01,
Lider,Colun,"Leche Entera Proteína A2, 1 L",2550,Leche Entera,https://www.lider.cl/supermercado/product/sku/4647737/colun-leche-entera-proteina-a2-1-l,2024-10-01,
Jumbo,Fisherman,Filete Jurel Ahumado Fisherman 82 G Drenado,2560,Jurel,https://www.jumbo.cl/filete-jurel-ahumado-fisherman-82-gr-dr-1939063/p,2024-10-01,
Jumbo,Cuisine & Co,Porotos Negros Cuisine & Co 1 Kg,2590,Porotos,https://www.jumbo.cl/poroto-negro-1-kg-cuisine-and-co-1840320/p,2024-10-01,
Jumbo,Carozzi,Pasta Spaghetti N°5 Carozzi 1 Kg,2590,Tallarín,https://www.jumbo.cl/spaghetti-n-5-carozzi-bolsa-1-kg-2/p,2024-10-01,
Santa Isabel,Colun,Leche Colun A2 Entera Sin Lactosa 1 L,2599,Leche Entera,https://www.santaisabel.cl/leche-colun-a2-entera-s-l-1lt-1983420/p,2024-10-01,
Jumbo,Colun,Leche Colun A2 Entera Sin Lactosa 1 L,2599,Leche Entera,https://www.jumbo.cl/leche-colun-a2-entera-s-l-1lt-1983420/p,2024-10-01,
Santa Isabel,Lucchetti,Pack 3 Spaghetti Luchetti + Salsa Doypack 220 G,2604,Tallarín,https://www.santaisabel.cl/spaghetti-n-5-lucchetti-3-unid-400-g-c-u-salsa-de-tomates-italiana-200-g/p,2024-10-01,
Unimarc,Minuto Verde,Mix Para Porotos Granados Minuto Verde 500 G,2639,Porotos,https://www.unimarc.cl/product/mix-porotos-granados-minuto-verde-500-g,2024-10-01,
Jumbo,Barilla,Spaghetti N°5 Barilla Italiano Caja 500 G,2650,Tallarín,https://www.jumbo.cl/spaghetti-n-5-barilla-caja-500-g-origen-italiano/p,2024-10-01,
Unimarc,Vivo,Pasta Spaghetti Vivo Sin Gluten 250 G,2660,Tallarín,https://www.unimarc.cl/product/spaghetti-sin-gluten-vivo-250-gr,2024-10-01,
Unimarc,Lucchetti,Pasta Spaghetti N° 5 Lucchetti Sin Gluten 400 G,2660,Tallarín,https://www.unimarc.cl/product/pasta-spaghetti-s-gluten-luccheti-400gr,2024-10-01,
Santa Isabel,San José,Jurel Al Natural San José Reducido En Sodio 300 G Drenado,2670,Jurel,https://www.santaisabel.cl/jurel-san-jose-reducido-en-sodio-300-g-drenado/p,2024-10-01,
Unimarc,Colun,Leche En Polvo Colun Entera Instantánea 400 G,2690,Leche Entera,https://www.unimarc.cl/product/leche-polvo-inst-entera-colun-400-gr,2024-10-01,
Jumbo,San José,Jurel Al Natural San José Reducido En Sodio 300 G Drenado,2690,Jurel,https://www.jumbo.cl/jurel-san-jose-reducido-en-sodio-300-g-drenado/p,2024-10-01,
Unimarc,Minuto Verde,Porotos Granados Minuto Verde Bolsa 500 G,2695,Porotos,https://www.unimarc.cl/product/porotos-granados-mix-bolsa-500-g,2024-10-01,
Jumbo,Cuisine & Co,Palmitos Corte Spaghetti 220 G Drenado,2699,Tallarín,https://www.jumbo.cl/palmitos-corte-spaghetti-220-g-drenado-cuisine-and-co-1869029/p,2024-10-01,
Jumbo,Banquete,Perlitas Porotos Banquete Fácil 220 G,2750,Porotos,https://www.jumbo.cl/perlitas-porotos-banquete-facil-220-gr-1898186/p,2024-10-01,
Unimarc,My Way,Palmitos My Way Corte Spaghetti Lata 400 G,2760,Tallarín,https://www.unimarc.cl/product/palmitos-my-way-400-gr-corte-spaghetti,2024-10-01,
Unimarc,San Jose,Jurel San José Al Natural Reducido En Sal Lata 425 G,2770,Jurel,https://www.unimarc.cl/product/jurel-al-natural-s-sal-san-jose-425gr,2024-10-01,
Jumbo,Bluedragon,Spaghetti De Arroz Blue Dragon 250 G,2790,Tallarín,https://www.jumbo.cl/spaghetti-blue-dragon-250-g-de-arroz/p,2024-10-01,
Unimarc,Iansa Agro,Porotos Tórtola Iansa Agro 1 Kg,2790,Porotos,https://www.unimarc.cl/product/poroto-tortola-iansagro-1-kg,2024-10-01,
Unimarc,Banquete,Poroto Blanco Banquete 1 Kg,2800,Porotos,https://www.unimarc.cl/product/porotos-blanco-natura-banquete-1-kg,2024-10-01,
Jumbo,Soprole,Pack 6 Un. Leche Soprole Entera Natural 200 Ml,2814,Leche Entera,https://www.jumbo.cl/leche-entera-soprole-uht-200ml-x6-1843490-pak/p,2024-10-01,
Jumbo,Iansa Agro,Arvejas Partidas Iansa Agro 1 Kg,2820,Porotos,https://www.jumbo.cl/arvejas-verdes-partidas-1kg-1883626/p,2024-10-01,
